price,area,status,nb_bedroom,nb_bathroom,age,location,builder
53.0,942,Ready to move,2,2.0,5.0,Iyyappanthangal,seller
53.0,942,Ready to move,2,2.0,5.0,Iyyappanthangal,seller
53.0,942,Ready to move,2,2.0,5.0,Iyyappanthangal,seller
53.0,942,Ready to move,2,2.0,5.0,Iyyappanthangal,seller
27.5,586,Ready to move,1,1.0,,Sembakkam,seller
28.0,586,Ready to move,1,1.0,,Sembakkam,seller
28.0,586,Ready to move,1,1.0,,Sembakkam,seller
28.0,586,Ready to move,1,1.0,,Sembakkam,seller
28.0,586,Ready to move,1,1.0,,Sembakkam,seller
28.0,586,Ready to move,1,1.0,,Sembakkam,seller
28.0,586,Ready to move,1,1.0,,Sembakkam,seller
28.0,586,Ready to move,1,1.0,,Sembakkam,seller
28.0,586,Ready to move,1,1.0,,Sembakkam,seller
28.0,586,Ready to move,1,1.0,,Sembakkam,seller
28.0,586,Ready to move,1,1.0,,Sembakkam,seller
28.0,586,Ready to move,1,1.0,,Sembakkam,seller
28.0,586,Ready to move,1,1.0,,Sembakkam,seller
28.0,586,Ready to move,1,1.0,,Sembakkam,seller
28.0,586,Ready to move,1,1.0,,Sembakkam,seller
310.0,2400,Ready to move,3,3.0,6.0,Jamalia,seller
35.0,953,Under Construction,2,2.0,,Pattabiram,seller
460.0,4000,Ready to move,4,4.0,,Kilpauk,seller
520.0,4000,Ready to move,4,3.0,,Adyar,seller
26.2,655,Ready to move,1,2.0,,Madambakkam,seller
35.0,700,Ready to move,2,2.0,4.0,Pattabiram,seller
110.0,1405,Ready to move,3,2.0,,Adyar,seller
25.0,650,Ready to move,2,2.0,4.0,Pattabiram,seller
25.0,650,Ready to move,2,2.0,4.0,Pattabiram,seller
25.0,650,Ready to move,2,2.0,4.0,Pattabiram,seller
60.0,1386,Ready to move,3,3.0,,Avadi,seller
540.0,5100,Under Construction,5,5.0,,Kottivakkam,seller
35.0,750,Ready to move,2,1.0,,Medavakkam,seller
35.0,750,Ready to move,2,1.0,,Medavakkam,seller
35.0,750,Ready to move,2,1.0,,Medavakkam,seller
35.0,750,Ready to move,2,1.0,,Medavakkam,seller
36.0,809,Ready to move,2,2.0,,Sembakkam,seller
30.0,905,Ready to move,2,2.0,4.0,Purasawalkam,seller
39.5,809,Ready to move,2,2.0,,Sembakkam,seller
39.5,809,Ready to move,2,2.0,,Sembakkam,seller
39.5,809,Ready to move,2,2.0,,Sembakkam,seller
39.5,809,Ready to move,2,2.0,,Sembakkam,seller
39.5,809,Ready to move,2,2.0,,Sembakkam,seller
62.0,1030,Ready to move,3,2.0,,Perungalathur,seller
62.0,1030,Ready to move,3,2.0,,Perungalathur,seller
62.0,1030,Ready to move,3,2.0,,Perungalathur,seller
62.0,1030,Ready to move,3,2.0,,Perungalathur,seller
62.0,1030,Ready to move,3,2.0,,Perungalathur,seller
62.0,1030,Ready to move,3,2.0,,Perungalathur,seller
62.0,1030,Ready to move,3,2.0,,Perungalathur,seller
62.0,1030,Ready to move,3,2.0,,Perungalathur,seller
62.0,1030,Ready to move,3,2.0,,Perungalathur,seller
62.0,1030,Ready to move,3,2.0,,Perungalathur,seller
62.0,1030,Ready to move,3,2.0,,Perungalathur,seller
62.0,1030,Ready to move,3,2.0,,Perungalathur,seller
62.0,1030,Ready to move,3,2.0,,Perungalathur,seller
62.0,1030,Ready to move,3,2.0,,Perungalathur,seller
62.0,1030,Ready to move,3,2.0,,Perungalathur,seller
62.0,1030,Ready to move,3,2.0,,Perungalathur,seller
42.8,855,Ready to move,2,2.0,,Pammal,seller
62.0,1030,Ready to move,3,2.0,,Perungalathur,seller
58.0,1030,Ready to move,3,2.0,,Perungalathur,seller
87.0,1015,Under Construction,2,2.0,,Adambakam,seller
85.0,1200,Ready to move,2,2.0,,tambaram west,seller
71.0,1100,Under Construction,3,3.0,,Kolathur,seller
165.0,1344,Ready to move,2,2.0,,Aminjikarai,seller
165.0,1344,Ready to move,2,2.0,,Aminjikarai,seller
49.0,1200,Ready to move,2,2.0,,Guduvancheri,seller
106.0,1350,Ready to move,3,3.0,,West Mambalam,seller
33.0,580,Ready to move,2,2.0,4.0,Perungalathur,seller
45.0,1024,Ready to move,3,2.0,,Thirumullaivoyal,seller
37.5,845,Ready to move,2,2.0,,Kundrathur,seller
47.0,1505,Ready to move,3,3.0,5.0,Sriperumbudur,seller
416.0,2315,Under Construction,3,3.0,,Alwarpet,seller
72.0,1100,Under Construction,3,3.0,,Kolathur,seller
34.99,1175,Ready to move,2,2.0,3.0,Veppampattu,Karthick
21.99,600,Ready to move,1,2.0,3.0,Veppampattu,Karthick
22.0,600,Ready to move,1,2.0,3.0,Veppampattu,Karthick
29.0,800,Ready to move,2,2.0,3.0,Veppampattu,Karthick
32.0,1000,Ready to move,2,2.0,3.0,Veppampattu,Karthick
39.75,885,Under Construction,2,2.0,,Perumbakkam,HomeFirst
65.8,1535,Under Construction,3,3.0,,Perumbakkam,HomeFirst
41.0,1250,Ready to move,1,2.0,,Kelambakkam,Elite nisha
33.0,1020,Ready to move,2,3.0,,Semmancheri,Elite nisha
48.0,1270,Ready to move,2,1.0,,Kelambakkam,Elite nisha
49.0,1110,Ready to move,2,2.0,,Navallur,Elite nisha
47.0,1060,Ready to move,2,2.0,,Semmancheri,Elite nisha
43.0,1350,Ready to move,2,2.0,,Kelambakkam,Elite nisha
195.0,3850,Ready to move,5,5.0,5.0,Ponniammanmedu,JA Associates
145.0,1000,Ready to move,2,1.0,3.0,Kodungaiyur West,JA Associates
120.0,2400,Ready to move,4,4.0,,Kolathur,JA Associates
73.56,1206,Under Construction,3,,0.0,Pammal,Murali
78.75,1291,Under Construction,3,,0.0,Pammal,Murali
74.96,1229,Under Construction,3,,0.0,Pammal,Murali
56.1,1020,Under Construction,3,,0.0,Sembakkam,Individual Agent
60.5,1100,Under Construction,3,,0.0,Sembakkam,Individual Agent
58.0,900,Under Construction,2,,0.0,Poonamallee,THAMINA HOMES
55.0,850,Under Construction,2,,0.0,Poonamallee,THAMINA HOMES
48.0,750,Under Construction,2,,0.0,Poonamallee,THAMINA HOMES
440.0,2452,Ready to move,3,3.0,,Nungambakkam,HomeFirst
23.0,500,Ready to move,1,1.0,,Nanmangalam,MC Foundation
62.08,1194,Ready to move,3,3.0,,Medavakkam,MC Foundation
48.41,931,Ready to move,2,2.0,,Medavakkam,MC Foundation
47.08,961,Ready to move,2,2.0,,Nanmangalam,MC Foundation
39.4,788,Ready to move,2,2.0,,Perumbakkam,MC Foundation
38.61,788,Ready to move,2,2.0,,Nanmangalam,MC Foundation
45.08,980,Ready to move,2,2.0,,Nanmangalam,MC Foundation
38.36,834,Ready to move,2,2.0,,Nanmangalam,MC Foundation
36.57,795,Ready to move,2,2.0,,Nanmangalam,MC Foundation
64.78,1117,Ready to move,3,3.0,,Sembakkam,MC Foundation
78.0,1300,Ready to move,3,3.0,,Medavakkam,MC Foundation
54.06,983,Ready to move,2,2.0,,Medavakkam,MC Foundation
47.35,861,Ready to move,2,2.0,,Medavakkam,MC Foundation
58.26,971,Ready to move,2,2.0,,Medavakkam,MC Foundation
81.2,1400,Ready to move,3,3.0,,Sembakkam,MC Foundation
69.35,1261,Ready to move,3,3.0,,Medavakkam,MC Foundation
49.0,1000,Ready to move,2,2.0,,Nanmangalam,MC Foundation
43.51,888,Ready to move,2,2.0,,Nanmangalam,MC Foundation
69.35,1261,Ready to move,3,3.0,,Medavakkam,MC Foundation
56.04,1019,Ready to move,2,2.0,,Medavakkam,MC Foundation
58.26,971,Ready to move,2,2.0,,Medavakkam,MC Foundation
81.2,1400,Ready to move,3,3.0,,Sembakkam,MC Foundation
78.0,1300,Ready to move,3,3.0,,Medavakkam,MC Foundation
54.06,983,Ready to move,2,2.0,,Medavakkam,MC Foundation
47.35,861,Ready to move,2,2.0,,Medavakkam,MC Foundation
31.2,600,Ready to move,1,1.0,,Medavakkam,MC Foundation
74.87,1291,Ready to move,3,3.0,,Sembakkam,MC Foundation
68.88,1148,Ready to move,3,3.0,,Medavakkam,MC Foundation
53.76,896,Ready to move,2,2.0,,Medavakkam,MC Foundation
56.88,1094,Ready to move,3,3.0,,Medavakkam,MC Foundation
51.94,999,Ready to move,2,2.0,,Medavakkam,MC Foundation
52.2,900,Ready to move,2,2.0,,Sembakkam,MC Foundation
72.71,1322,Ready to move,3,3.0,,Medavakkam,MC Foundation
64.78,1117,Ready to move,3,3.0,,Sembakkam,MC Foundation
41.11,839,Ready to move,2,2.0,,Nanmangalam,MC Foundation
43.68,840,Ready to move,2,2.0,,Medavakkam,MC Foundation
54.05,932,Ready to move,2,2.0,,Kovilambakkam,MC Foundation
53.41,1187,Ready to move,3,3.0,,Sithalapakkam,MC Foundation
54.55,1091,Ready to move,3,3.0,,Perumbakkam,MC Foundation
48.85,977,Ready to move,2,2.0,,Perumbakkam,MC Foundation
51.96,896,Ready to move,2,2.0,,Kovilambakkam,MC Foundation
53.39,1139,Ready to move,3,3.0,,Nanmangalam,MC Foundation
70.6,1400,Ready to move,3,3.0,,Perumbakkam,MC Foundation
43.15,863,Ready to move,2,2.0,,Perumbakkam,MC Foundation
58.8,1200,Ready to move,3,3.0,,Nanmangalam,MC Foundation
49.0,1000,Ready to move,2,2.0,,Nanmangalam,MC Foundation
43.51,888,Ready to move,2,2.0,,Nanmangalam,MC Foundation
45.99,1022,Ready to move,3,3.0,,Sithalapakkam,MC Foundation
41.58,924,Ready to move,2,2.0,,Sithalapakkam,MC Foundation
58.45,759,Ready to move,2,2.0,6.0,Nesapakkam,Balasubramani
29.0,650,Ready to move,1,1.0,3.0,Pallikaranai,Propsource Realty Private Limited
39.88,1050,Ready to move,2,2.0,,Thaiyur,Propsource Realty Private Limited
89.0,950,Ready to move,2,2.0,,T Nagar,AKS REALTY SERVICES
69.47,965,Under Construction,2,,0.0,Porur,ARB HOMES
66.44,923,Under Construction,2,2.0,0.0,Porur,ARB HOMES
92.65,1287,Under Construction,3,,0.0,Porur,ARB HOMES
78.1,1085,Under Construction,3,3.0,0.0,Porur,ARB HOMES
73.93,1027,Under Construction,2,,0.0,Porur,ARB HOMES
69.9,971,Under Construction,2,,0.0,Porur,ARB HOMES
69.54,966,Under Construction,2,,0.0,Porur,ARB HOMES
85.0,1712,Ready to move,3,3.0,,Medavakkam,South Zone Realty Consulting Pvt Ltd
430.0,6700,Ready to move,4,4.0,,Kovalam,HomeFirst
240.0,3700,Ready to move,3,3.0,,Kovalam,HomeFirst
205.0,1850,Ready to move,3,3.0,4.0,CIT Nagar,AKS REALTY SERVICES
51.32,1283,Ready to move,3,3.0,,Selaiyur,MC Foundation
45.04,1126,Ready to move,3,3.0,,Selaiyur,MC Foundation
45.04,1126,Ready to move,3,3.0,,Selaiyur,MC Foundation
29.72,743,Ready to move,2,2.0,,Selaiyur,MC Foundation
53.85,1122,Ready to move,3,3.0,,Selaiyur,MC Foundation
43.48,906,Ready to move,2,2.0,,Selaiyur,MC Foundation
40.27,839,Ready to move,2,2.0,,Selaiyur,MC Foundation
79.69,1172,Ready to move,2,2.0,,tambaram west,MC Foundation
75.0,1655,Ready to move,3,3.0,1.0,Agaramthen,MC Foundation
100.0,2100,Ready to move,3,3.0,,Selaiyur,MC Foundation
70.0,1600,Ready to move,3,3.0,1.0,Agaramthen,MC Foundation
100.0,2100,Ready to move,3,3.0,,Vengambakkam,MC Foundation
95.0,2000,Ready to move,3,3.0,,Selaiyur,MC Foundation
90.0,1900,Ready to move,3,3.0,,Selaiyur,MC Foundation
95.0,2000,Ready to move,3,3.0,,Vengambakkam,MC Foundation
85.0,1800,Ready to move,3,3.0,,Selaiyur,MC Foundation
90.0,1900,Ready to move,3,3.0,,Vengambakkam,MC Foundation
85.0,1800,Ready to move,3,3.0,,Vengambakkam,MC Foundation
80.0,1700,Ready to move,3,3.0,,Selaiyur,MC Foundation
80.0,1700,Ready to move,3,3.0,,Vengambakkam,MC Foundation
75.0,1655,Ready to move,3,3.0,,Selaiyur,MC Foundation
75.0,1655,Ready to move,3,3.0,,Vengambakkam,MC Foundation
90.0,1667,Ready to move,3,3.0,,Selaiyur,MC Foundation
70.0,1600,Ready to move,3,3.0,,Selaiyur,MC Foundation
70.0,1600,Ready to move,3,3.0,,Vengambakkam,MC Foundation
120.0,2000,Ready to move,3,3.0,,Sembakkam,MC Foundation
100.0,2100,Ready to move,3,3.0,1.0,Agaramthen,MC Foundation
100.0,1821,Ready to move,3,3.0,,Sembakkam,MC Foundation
100.0,2100,Ready to move,3,3.0,,Selaiyur,MC Foundation
95.0,2000,Ready to move,3,3.0,1.0,Agaramthen,MC Foundation
95.0,1783,Ready to move,3,3.0,,Sembakkam,MC Foundation
95.0,2000,Ready to move,3,3.0,,Selaiyur,MC Foundation
85.0,1583,Ready to move,3,3.0,,Selaiyur,MC Foundation
90.0,1900,Ready to move,3,3.0,1.0,Agaramthen,MC Foundation
90.0,1624,Ready to move,3,3.0,,Sembakkam,MC Foundation
90.0,1900,Ready to move,3,3.0,,Selaiyur,MC Foundation
85.0,1800,Ready to move,3,3.0,1.0,Agaramthen,MC Foundation
125.0,1800,Ready to move,3,3.0,,Rajakilpakkam,MC Foundation
100.0,1874,Ready to move,3,3.0,,Selaiyur,MC Foundation
85.0,1800,Ready to move,3,3.0,,Selaiyur,MC Foundation
80.0,1700,Ready to move,3,3.0,,Selaiyur,MC Foundation
80.0,1700,Ready to move,3,3.0,1.0,Agaramthen,MC Foundation
95.0,1700,Ready to move,3,3.0,,Rajakilpakkam,MC Foundation
75.0,1655,Ready to move,3,3.0,,Selaiyur,MC Foundation
94.0,1793,Ready to move,3,3.0,,Selaiyur,MC Foundation
100.0,2000,Ready to move,3,3.0,,Selaiyur,MC Foundation
90.0,1674,Ready to move,3,3.0,,Selaiyur,MC Foundation
95.0,1800,Ready to move,3,3.0,,Selaiyur,MC Foundation
90.0,1740,Ready to move,3,3.0,,Selaiyur,MC Foundation
84.0,1600,Ready to move,3,3.0,,Selaiyur,MC Foundation
85.0,1664,Ready to move,3,3.0,,Selaiyur,MC Foundation
100.0,2000,Ready to move,3,3.0,,tambaram west,MC Foundation
95.0,1800,Ready to move,3,3.0,,tambaram west,MC Foundation
110.0,2000,Ready to move,3,3.0,,Selaiyur,MC Foundation
100.0,1839,Ready to move,3,3.0,,Selaiyur,MC Foundation
90.0,1700,Ready to move,3,3.0,,tambaram west,MC Foundation
95.0,1741,Ready to move,3,3.0,,Selaiyur,MC Foundation
85.0,1621,Ready to move,3,3.0,,tambaram west,MC Foundation
130.0,1385,Ready to move,3,3.0,,Chromepet,MC Foundation
74.0,1300,Ready to move,3,3.0,,Madambakkam,MC Foundation
69.0,1200,Ready to move,2,2.0,,Madambakkam,MC Foundation
130.0,1961,Ready to move,3,3.0,,Rajakilpakkam,MC Foundation
70.0,1600,Ready to move,3,3.0,,Selaiyur,MC Foundation
140.0,2200,Under Construction,4,4.0,,Sembakkam,MC Foundation
95.0,1900,Ready to move,3,3.0,,Perumbakkam,MC Foundation
85.0,1800,Ready to move,3,3.0,,Perumbakkam,MC Foundation
120.0,1321,Ready to move,3,3.0,,Chromepet,MC Foundation
90.0,1800,Ready to move,4,4.0,,Madambakkam,MC Foundation
120.0,1400,Ready to move,3,3.0,,Chitlapakkam,MC Foundation
85.0,1683,Ready to move,3,3.0,,Madambakkam,MC Foundation
80.0,1561,Ready to move,3,3.0,,Madambakkam,MC Foundation
77.0,1483,Ready to move,3,3.0,,Madambakkam,MC Foundation
110.0,1943,Ready to move,3,3.0,,Chromepet,MC Foundation
110.0,1300,Ready to move,3,3.0,,Chitlapakkam,MC Foundation
95.0,1783,Ready to move,3,3.0,,Chromepet,MC Foundation
60.02,1225,Ready to move,3,3.0,,Chromepet,MC Foundation
53.6,1094,Ready to move,3,3.0,,Chromepet,MC Foundation
44.59,910,Ready to move,2,2.0,,Chromepet,MC Foundation
40.18,820,Ready to move,2,2.0,,Chromepet,MC Foundation
24.47,505,Ready to move,1,1.0,,Chromepet,MC Foundation
108.0,1065,Ready to move,2,2.0,1.0,Saligramam,seller
37.34,770,Under Construction,2,2.0,0.0,Ambattur,seller
57.12,1190,Under Construction,3,3.0,,Nanmangalam,Vishnu Foundation Ltd
64.0,1254,Ready to move,2,2.0,,Medavakkam,South Zone Realty Consulting Pvt Ltd
23.0,594,Ready to move,1,2.0,3.0,Veppampattu,Karthick
26.5,630,Ready to move,2,2.0,3.0,Veppampattu,Karthick
34.99,1201,Ready to move,2,2.0,3.0,Veppampattu,Karthick
28.99,751,Ready to move,2,2.0,3.0,Veppampattu,Karthick
26.99,701,Ready to move,2,2.0,3.0,Veppampattu,Karthick
29.99,847,Ready to move,2,2.0,3.0,Veppampattu,Karthick
22.99,609,Ready to move,2,2.0,3.0,Veppampattu,Karthick
32.0,800,Ready to move,2,2.0,,Mambakkam,Elite nisha
48.0,1200,Ready to move,2,2.0,,Nallambakkam,Elite nisha
46.0,1000,Under Construction,2,2.0,0.0,Mambakkam,Elite nisha
53.0,1000,Ready to move,2,3.0,,Nallambakkam,Elite nisha
57.0,1500,Ready to move,2,3.0,3.0,Peerakankaranai,Elite nisha
33.0,1200,Ready to move,2,2.0,,Siruseri,Elite nisha
36.0,900,Ready to move,1,2.0,3.0,Ottiyabakkam,Elite nisha
58.0,1400,Ready to move,3,3.0,,Kelambakkam,Elite nisha
57.0,1250,Ready to move,2,2.0,,Kelambakkam,Elite nisha
53.0,1550,Ready to move,2,2.0,,Kelambakkam,Elite nisha
52.0,1350,Ready to move,2,2.0,,Kelambakkam,Elite nisha
46.0,1200,Ready to move,1,2.0,,Semmancheri,Elite nisha
36.0,1000,Ready to move,2,2.0,,Semmancheri,Elite nisha
54.0,1050,Ready to move,2,2.0,3.0,Peerakankaranai,Elite nisha
50.0,1080,Ready to move,2,3.0,4.0,Rathinamangalam,Elite nisha
58.0,1250,Ready to move,2,3.0,4.0,Rathinamangalam,Elite nisha
48.0,1160,Ready to move,2,3.0,3.0,Peerakankaranai,Elite nisha
47.0,1470,Ready to move,2,3.0,,Semmancheri,Elite nisha
53.0,1060,Ready to move,2,3.0,3.0,Ottiyabakkam,Elite nisha
48.0,1126,Ready to move,1,2.0,3.0,Ottiyabakkam,Elite nisha
78.0,954,Ready to move,2,2.0,,Adambakam,Prabha Homes
53.0,804,Ready to move,2,2.0,,Kovilambakkam,Prabha Homes
42.0,509,Ready to move,1,1.0,,Adambakam,Prabha Homes
48.87,905,Ready to move,2,2.0,,Selaiyur,MC Foundation
46.54,862,Ready to move,2,2.0,,Selaiyur,MC Foundation
41.52,769,Ready to move,2,2.0,,Selaiyur,MC Foundation
69.6,1200,Ready to move,3,3.0,,Perungalathur,MC Foundation
60.32,1040,Ready to move,2,2.0,,Perungalathur,MC Foundation
54.17,934,Ready to move,2,2.0,,Perungalathur,MC Foundation
51.56,889,Ready to move,2,2.0,,Perungalathur,MC Foundation
66.08,1180,Ready to move,3,3.0,,tambaram west,MC Foundation
57.12,1020,Ready to move,2,2.0,,tambaram west,MC Foundation
52.08,930,Ready to move,2,2.0,,tambaram west,MC Foundation
73.37,1249,Ready to move,3,3.0,,Sembakkam,MC Foundation
69.26,1179,Ready to move,3,3.0,,Sembakkam,MC Foundation
57.75,983,Ready to move,2,2.0,,Sembakkam,MC Foundation
47.94,861,Ready to move,2,2.0,,Sembakkam,MC Foundation
81.43,1404,Ready to move,3,3.0,,Chromepet,MC Foundation
72.96,1258,Ready to move,3,3.0,,Chromepet,MC Foundation
59.15,1183,Ready to move,3,3.0,,Chromepet,MC Foundation
57.76,996,Ready to move,2,2.0,,Chromepet,MC Foundation
47.15,943,Ready to move,2,2.0,,Chromepet,MC Foundation
52.2,900,Ready to move,2,2.0,,Chromepet,MC Foundation
76.5,1275,Ready to move,3,3.0,,Chitlapakkam,MC Foundation
43.05,861,Ready to move,2,2.0,,Chromepet,MC Foundation
69.96,1166,Ready to move,3,3.0,,Chitlapakkam,MC Foundation
25.0,500,Ready to move,1,1.0,,Chromepet,MC Foundation
60.0,1000,Ready to move,2,2.0,,Chitlapakkam,MC Foundation
113.0,1668,Ready to move,3,3.0,,tambaram west,MC Foundation
99.07,1457,Ready to move,3,3.0,,tambaram west,MC Foundation
83.09,1222,Ready to move,2,2.0,,tambaram west,MC Foundation
42.0,700,Ready to move,1,1.0,,Chitlapakkam,MC Foundation
49.74,829,Ready to move,2,2.0,,Chitlapakkam,MC Foundation
78.0,1300,Ready to move,3,3.0,,Chromepet,MC Foundation
68.58,1143,Ready to move,3,3.0,,Chromepet,MC Foundation
58.14,969,Ready to move,2,2.0,,Chromepet,MC Foundation
47.1,785,Ready to move,2,2.0,,Chromepet,MC Foundation
39.26,818,Ready to move,2,2.0,,Selaiyur,MC Foundation
73.6,1269,Ready to move,3,3.0,,Selaiyur,MC Foundation
69.07,1191,Ready to move,3,3.0,,Selaiyur,MC Foundation
62.06,1070,Ready to move,2,2.0,,Selaiyur,MC Foundation
57.71,995,Ready to move,2,2.0,,Selaiyur,MC Foundation
55.85,963,Ready to move,2,2.0,,Selaiyur,MC Foundation
51.85,894,Ready to move,2,2.0,,Selaiyur,MC Foundation
47.56,820,Ready to move,2,2.0,,Selaiyur,MC Foundation
78.4,1400,Ready to move,3,3.0,,Rajakilpakkam,MC Foundation
72.8,1300,Ready to move,3,3.0,,Rajakilpakkam,MC Foundation
66.58,1189,Ready to move,3,3.0,,Rajakilpakkam,MC Foundation
57.34,1024,Ready to move,2,2.0,,Rajakilpakkam,MC Foundation
53.98,964,Ready to move,2,2.0,,Rajakilpakkam,MC Foundation
46.25,826,Ready to move,2,2.0,,Rajakilpakkam,MC Foundation
43.96,785,Ready to move,2,2.0,,Rajakilpakkam,MC Foundation
85.62,1427,Ready to move,3,3.0,9.0,Medavakkam,MC Foundation
79.02,1317,Ready to move,3,3.0,9.0,Medavakkam,MC Foundation
75.24,1254,Ready to move,3,3.0,9.0,Medavakkam,MC Foundation
66.96,1116,Ready to move,3,3.0,9.0,Medavakkam,MC Foundation
60.0,1000,Ready to move,2,2.0,9.0,Medavakkam,MC Foundation
54.3,905,Ready to move,2,2.0,,Sembakkam,MC Foundation
53.16,886,Ready to move,2,2.0,9.0,Medavakkam,MC Foundation
50.1,835,Ready to move,2,2.0,,Sembakkam,MC Foundation
45.06,751,Ready to move,2,2.0,9.0,Medavakkam,MC Foundation
124.0,1537,Ready to move,3,,3.0,Nandambakkam,Luxclusive Homes
117.0,1455,Ready to move,3,3.0,3.0,Nandambakkam,Luxclusive Homes
123.0,1530,Ready to move,3,3.0,3.0,Nandambakkam,Luxclusive Homes
58.32,1215,Under Construction,3,3.0,,Nanmangalam,Vishnu Foundation Ltd
45.6,950,Under Construction,2,2.0,,Nanmangalam,Vishnu Foundation Ltd
40.32,840,Under Construction,2,2.0,,Nanmangalam,Vishnu Foundation Ltd
37.68,785,Under Construction,2,2.0,,Nanmangalam,Vishnu Foundation Ltd
33.6,700,Under Construction,2,2.0,,Nanmangalam,Vishnu Foundation Ltd
71.91,1383,Ready to move,3,3.0,,Sembakkam,MC Foundation
60.63,1166,Ready to move,3,3.0,,Sembakkam,MC Foundation
51.01,981,Ready to move,2,2.0,,Sembakkam,MC Foundation
48.41,931,Ready to move,2,2.0,,Sembakkam,MC Foundation
44.25,851,Ready to move,2,2.0,,Sembakkam,MC Foundation
41.6,800,Ready to move,2,2.0,,Sembakkam,MC Foundation
63.45,1269,Ready to move,3,3.0,,Rajakilpakkam,MC Foundation
59.2,1184,Ready to move,3,3.0,,Rajakilpakkam,MC Foundation
55.0,1100,Ready to move,3,3.0,,Rajakilpakkam,MC Foundation
48.2,964,Ready to move,2,2.0,,Rajakilpakkam,MC Foundation
