price,area,status,nb_bedroom,nb_bathroom,age,location,builder
37.49,872,Ready to move,2,,1.0,Sembakkam,MP Developers
93.54,1346,Under Construction,3,2.0,,Selaiyur,DAC Promoters
151.0,2225,Under Construction,3,,0.0,Mogappair,Casagrand Builder Private Limited
49.0,1028,Ready to move,2,2.0,3.0,Ambattur,Dugar Housing Builders
42.28,588,Under Construction,2,1.0,0.0,Pallavaram,Radiance Realty Developers India Ltd
188.0,2221,Under Construction,3,3.0,0.0,Virugambakkam,Traventure Homes Pvt Ltd
38.0,885,Under Construction,3,,0.0,Thirumazhisai,Urbanrise
72.99,936,Ready to move,3,,6.0,Moolakadai,Navin Housing Properties P LTD
125.0,2275,Ready to move,4,,1.0,Ottiyambakkam,Jones foundation private limited
24.56,622,Under Construction,2,,0.0,Perungalathur,Isha Homes
67.87,1305,Under Construction,3,,0.0,Gerugambakkam,Kochar Homes Pvt Ltd
240.0,1500,Ready to move,3,3.0,1.0,Anna Nagar,Pushkar Properties Pvt Ltd
407.0,2200,Under Construction,3,,0.0,Gopalapuram,Pushkar Properties Pvt Ltd
51.46,919,Under Construction,2,,0.0,Pammal,Asset Tree Homes
69.47,965,Under Construction,2,,0.0,Porur,Urban Tree Infrastructures
113.0,2343,Ready to move,4,4.0,5.0,Navallur,Olympia Group
18.0,353,Under Construction,1,,0.0,Thirumazhisai,Vijay Raja Homes Private Limited
224.0,1450,Under Construction,3,,0.0,Anna Nagar,Kamalam Builder Pvt Ltd
100.0,1833,Ready to move,3,,,Sholinganallur,Appaswamy Real Estate
45.99,920,Under Construction,2,,0.0,Vanagaram,VNR Homes
73.75,1405,Under Construction,3,,0.0,Sholinganallur,PS Srijan Developers
455.0,2601,Under Construction,4,,0.0,T Nagar,Lifestyle Housing
391.0,2475,Under Construction,4,,0.0,Guindy,Puravankara Limited
80.73,1242,Under Construction,2,,0.0,Madipakkam,Jones Foundations
31.96,969,Ready to move,2,,1.0,Perumbakkam,Plaza Group
81.3,937,Under Construction,2,,0.0,Velachery,Urbando Housing LLP
72.05,1310,Under Construction,3,,0.0,Medavakkam,EK Realtors
91.36,1340,Ready to move,3,,2.0,Gowrivakkam,The Nest Builder
50.76,1045,Ready to move,2,2.0,1.0,Chromepet,Doshi Housing
62.75,1004,Under Construction,2,,0.0,Sholinganallur,Grandstyle constructions
57.5,920,Under Construction,2,1.0,0.0,Ambattur,vinoth builders
50.22,1005,Ready to move,2,,1.0,Thalambur,GTK Foundations
22.36,713,Under Construction,2,,0.0,Thandalam,Baashyaam Group
19.8,900,Ready to move,2,,1.0,Thirumazhisai,chris
84.13,1325,Under Construction,2,,0.0,Medavakkam,Krishna Constructions
58.43,1113,Under Construction,2,,0.0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
330.0,3670,Ready to move,3,,3.0,Kanathur Reddikuppam,Mayances Construction and Engineering Services
80.32,1208,Ready to move,2,,4.0,Madipakkam,Ramaniyam Real Estate Builders
290.0,1600,Under Construction,3,,0.0,Adyar,India Builders Limited
40.02,870,Ready to move,2,,3.0,Kolapakkam,Ram
42.07,1275,Under Construction,3,,0.0,Thaiyur,Shatapatri Estates Pvt Ltd
48.61,884,Ready to move,2,,1.0,Thoraipakkam OMR,Shri Raman Developers
49.12,1092,Under Construction,2,,0.0,Poonamallee,Sri Hari Developers
42.28,588,Under Construction,2,1.0,0.0,Pallavaram,Radiance Realty Developers
50.21,1152,Ready to move,2,3.0,1.0,Padur,Pacifica Companies
40.75,910,Under Construction,2,,0.0,Perumbakkam,BSCPL Infrastructure Ltd
261.0,1548,Ready to move,3,,1.0,Adyar,Khurinji Homes
47.04,920,Under Construction,2,2.0,0.0,Perumbakkam,Saradeuz Realty Constructions
45.79,669,Ready to move,2,,1.0,East Tambaram,VGK Builders Pvt Ltd
33.77,866,Under Construction,2,,0.0,Chromepet,Amarprakash Developers Pvt Ltd
65.69,1381,Ready to move,3,,,Tiruvottiyur,Hansa Estates
118.0,1740,Ready to move,3,,4.0,Iyappanthangal,Prince Foundations Ltd
50.31,1450,Ready to move,3,,1.0,Padappai,Budget Housing And Properties
78.71,1212,Under Construction,2,,0.0,Porur,SP Homes Pvt Ltd
29.62,528,Ready to move,2,,1.0,Pammal,Bharathi Construction
88.27,1605,Under Construction,3,,0.0,Mugalivakkam,Karuppaswamy Builders
43.44,932,Under Construction,2,2.0,0.0,Pammal,Merlin Group
33.05,1002,Ready to move,2,,3.0,Kelambakkam,Advaita Homes
29.56,768,Under Construction,2,,0.0,Thirumullaivoyal,Swamaan Developers
88.39,1637,Ready to move,3,,1.0,Poonamallee,Poojaa Foundation
658.0,6103,Ready to move,4,,5.0,Sholinganallur,Prestige Estates Projects Ltd
33.23,773,Ready to move,2,,1.0,Sembakkam,MP Developers
84.79,1220,Under Construction,3,3.0,,Selaiyur,DAC Promoters
134.0,1974,Under Construction,3,,0.0,Mogappair,Casagrand Builder Private Limited
67.0,1195,Ready to move,3,,3.0,Ambattur,Dugar Housing Builders
71.08,1021,Under Construction,2,1.0,0.0,Pallavaram,Radiance Realty Developers India Ltd
188.0,2221,Under Construction,3,3.0,0.0,Virugambakkam,Traventure Homes Pvt Ltd
31.0,730,Under Construction,2,,0.0,Thirumazhisai,Urbanrise
83.03,1101,Ready to move,3,,6.0,Moolakadai,Navin Housing Properties P LTD
146.0,2669,Ready to move,4,,1.0,Ottiyambakkam,Jones foundation private limited
20.14,510,Under Construction,1,,0.0,Perungalathur,Isha Homes
76.2,1480,Under Construction,3,,0.0,Gerugambakkam,Kochar Homes Pvt Ltd
240.0,1500,Under Construction,3,,0.0,Anna Nagar,Pushkar Properties Pvt Ltd
51.46,919,Under Construction,2,,0.0,Pammal,Asset Tree Homes
66.44,923,Under Construction,2,2.0,0.0,Porur,Urban Tree Infrastructures
112.0,2323,Ready to move,4,,5.0,Navallur,Olympia Group
29.0,544,Under Construction,1,,0.0,Thirumazhisai,Vijay Raja Homes Private Limited
158.0,1025,Under Construction,2,,0.0,Anna Nagar,Kamalam Builder Pvt Ltd
108.0,1972,Ready to move,3,,,Sholinganallur,Appaswamy Real Estate
45.99,920,Under Construction,2,,0.0,Vanagaram,VNR Homes
73.99,1410,Under Construction,3,,0.0,Sholinganallur,PS Srijan Developers
644.0,3681,Under Construction,4,4.0,0.0,T Nagar,Lifestyle Housing
593.0,3750,Under Construction,5,,0.0,Guindy,Puravankara Limited
89.7,1380,Under Construction,3,,0.0,Madipakkam,Jones Foundations
39.75,1205,Ready to move,3,2.0,1.0,Perumbakkam,Plaza Group
81.7,942,Under Construction,2,,0.0,Velachery,Urbando Housing LLP
51.64,939,Under Construction,2,,0.0,Medavakkam,EK Realtors
64.34,945,Ready to move,2,,2.0,Gowrivakkam,The Nest Builder
37.4,770,Ready to move,2,,1.0,Chromepet,Doshi Housing
62.75,1004,Under Construction,2,,0.0,Sholinganallur,Grandstyle constructions
89.37,1430,Under Construction,3,,0.0,Ambattur,vinoth builders
64.82,1297,Ready to move,3,,1.0,Thalambur,GTK Foundations
20.88,663,Under Construction,2,,0.0,Thandalam,Baashyaam Group
19.8,900,Ready to move,2,,1.0,Thirumazhisai,chris
84.13,1325,Under Construction,2,,0.0,Medavakkam,Krishna Constructions
54.96,1047,Under Construction,2,,0.0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
440.0,4896,Ready to move,4,,3.0,Kanathur Reddikuppam,Mayances Construction and Engineering Services
96.32,1481,Ready to move,3,,4.0,Madipakkam,Ramaniyam Real Estate Builders
242.0,1565,Ready to move,3,,2.0,Anna Nagar,India Builders Limited
48.53,1055,Ready to move,2,,3.0,Kolapakkam,Ram
79.92,1150,Under Construction,2,2.0,,Selaiyur,DAC Promoters
